#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true,true,true
#default,mean,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,container_name,host,namespace,node_name,pod_name
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:30Z,884897,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,1,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:38Z,913779,cpu_usage_nanocores,kubernetes_pod_container,redis,sail-1,boutique,sail-4,redis-cart-79db5c758d-rtnpx
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:09:50Z,1464584,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:00Z,1385022,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:10Z,1385022,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:20Z,1506571,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:30Z,1319458,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:40Z,1319458,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:50Z,2131526,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:00Z,429592,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:10Z,429592,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:20Z,1439329,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:30Z,1815117,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:40Z,1815117,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:50Z,1470252,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:00Z,1381047,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:10Z,1381047,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:20Z,1480606,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:30Z,1480606,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:40Z,1425519,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:12:50Z,1767952,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:00Z,1329040,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:10Z,1329040,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:20Z,1143007,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:30Z,1143007,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:40Z,2097481,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:13:50Z,2097481,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:00Z,1190030,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:10Z,1137682,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:20Z,1137682,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:30Z,1507204,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,2,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:14:38Z,1794937,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,adservice-7b57cf47c7-cns2w
,,3,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:09:50Z,6313464,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,cartservice-7f8f549cd5-zxcff
,,3,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:00Z,6363184,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,cartservice-7f8f549cd5-zxcff
,,3,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:10Z,6020206,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,cartservice-7f8f549cd5-zxcff
,,3,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:20Z,7990408,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,cartservice-7f8f549cd5-zxcff
,,3,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:30Z,7990408,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,cartservice-7f8f549cd5-zxcff
,,3,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:40Z,6236118,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,cartservice-7f8f549cd5-zxcff
,,3,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:10:50Z,7793680,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,cartservice-7f8f549cd5-zxcff
,,3,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:00Z,7793680,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,cartservice-7f8f549cd5-zxcff
,,3,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:10Z,5339188,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,cartservice-7f8f549cd5-zxcff
,,3,2022-11-14T06:09:38Z,2022-11-14T06:14:38Z,2022-11-14T06:11:20Z,7367902,cpu_usage_nanocores,kubernetes_pod_container,server,sail-1,boutique,sail-2,cartservice-7f8f549cd5-zxcff
